time,contract,open,high,low,close,volume,delta
2009-06-03,200906,6928,6933,6842,6898,80134,0
2009-06-04,200906,6860,6897,6696,6784,112875,0
2009-06-05,200906,6811,6827,6735,6790,74420,0
2009-06-06,200906,6777,6853,6775,6833,39196,0
2009-06-08,200906,6865,6884,6612,6643,98319,0
2009-06-09,200906,6668,6668,6390,6413,120934,0
2009-06-10,200906,6458,6504,6385,6459,91260,0
2009-06-11,200906,6490,6545,6335,6516,122668,0
2009-06-12,200906,6530,6558,6411,6437,104854,0
2009-06-15,200906,6390,6390,6174,6208,115650,0
2009-06-16,200906,6173,6251,6133,6208,98988,0
2009-06-17,200906,6218,6294,6195,6204,61615,-69
2009-06-18,200907,6130,6205,5994,6090,124089,0
2009-06-19,200907,6090,6150,6045,6138,91410,0
2009-06-22,200907,6137,6264,6075,6206,96798,0
2009-06-23,200907,6088,6150,6059,6072,83086,0
2009-06-24,200907,6089,6494,6073,6311,143028,0
2009-06-25,200907,6306,6427,6295,6389,101697,0
2009-06-26,200907,6405,6432,6361,6391,76133,0
2009-06-29,200907,6415,6436,6305,6345,92593,0
2009-06-30,200907,6421,6450,6301,6383,97549,0
2009-07-01,200907,6414,6546,6361,6517,108188,0
2009-07-02,200907,6525,6626,6517,6590,96176,0
2009-07-03,200907,6547,6633,6520,6602,91558,0
2009-07-06,200907,6619,6631,6527,6588,90726,0
2009-07-07,200907,6588,6710,6578,6665,97559,0
2009-07-08,200907,6621,6637,6558,6627,92427,0
2009-07-09,200907,6627,6778,6625,6724,101366,0
2009-07-10,200907,6735,6755,6676,6755,73581,0
2009-07-13,200907,6739,6765,6443,6469,118983,0
2009-07-14,200907,6540,6609,6507,6580,74525,0
2009-07-15,200907,6630,6782,6625,6763,65479,-121
2009-07-16,200908,6748,6785,6661,6709,90123,0
2009-07-17,200908,6736,6802,6700,6756,79822,0
2009-07-20,200908,6839,6884,6758,6859,86215,0
2009-07-21,200908,6900,6912,6795,6874,91335,0
2009-07-22,200908,6870,6959,6847,6885,93603,0
2009-07-23,200908,6873,6955,6818,6881,94591,0
2009-07-24,200908,6950,6963,6875,6897,75387,0
2009-07-27,200908,6950,7010,6896,6967,79395,0
2009-07-28,200908,6962,7088,6951,7080,82604,0
